Name,Observed Wavelength of H-alpha,Apparent Mag,RA J2000.0,Dec J2000.0
PGC037779,6602.3622246390905,12.841466550529546,11 59 33.8,+13 53 15
PGC037802,6600.721974016449,11.787044565538622,11 59 49.4,+21 26 56
NGC4032,6585.9600572919235,14.483205499031726,12 00 32.9,+20 04 26
PGC1380373,6580.784596154554,13.574158644020983,12 00 56.1,+10 29 56
IC0755,6580.812006516166,14.80934336601333,12 01 10.5,+14 06 15
UGC07003,6578.883215121597,12.768359951272373,12 01 21.5,+14 27 00
PGC3120683,6557.420914220421,11.07635035001654,12 01 22.3,+02 11 09
NGC4037,6594.666701687346,13.33698812860699,12 01 23.7,+13 24 04
PGC037931,6599.674322470045,15.029043627009592,12 01 27.5,+14 02 04
PGC037954,6583.356799498603,13.729484501203878,12 01 44.3,+05 49 17
PGC1351666,6592.399172524435,15.067929363741154,12 01 45.1,+08 40 59
NGC4045,6564.363246816536,15.15468384327706,12 02 42.3,+01 58 37
NGC4049,6601.81367963543,13.905899090475877,12 02 54.5,+18 45 08
PGC3091844,6595.104425205894,12.289417369924138,12 03 02.8,+06 30 05
PGC1374673,6591.351703511005,13.532316637215857,12 03 15.1,+10 06 28
AGC225882,6582.567013256795,13.269347836913287,12 03 26.3,+13 27 34
PGC038113,6575.005794680451,14.657189627686947,12 03 36.0,+16 03 20
UGC07035,6576.55172426079,14.558708671370535,12 03 40.1,+02 38 29
UGC07039,6611.06984336249,14.278006999868282,12 03 50.5,+16 33 16
UGC07038,6579.745567275182,9.384553439423968,12 03 50.5,+14 33 01
SDSSJ120404.33+044847.2,6552.651532595944,12.275073515099898,12 04 04.4,+04 48 46
NGC4064,6606.337972908315,14.862155318801292,12 04 11.2,+18 26 37
NGC4067,6589.060022867245,12.678174430829216,12 04 11.5,+10 51 16
PGC1382204,6573.251954895253,15.066342713112604,12 04 47.1,+10 37 36
NGC4078,6599.016026711826,13.744558698339862,12 04 47.6,+10 35 44
SDSSJ120459.57+142420.4,6603.278845102417,13.764687879067992,12 04 59.6,+14 24 21
PGC1137065,6574.165080840853,12.674026314881388,12 05 02.2,-00 41 32
PGC3292163,6567.182112285108,14.924825649049136,12 05 07.1,-00 06 38
PGC1142295,6560.580002750611,13.799702524928307,12 05 19.9,-00 28 49
PGC3111475,6536.088455521157,10.813872866330104,12 05 26.7,-00 16 56
SDSSJ120527.06+123243.2,6601.502490219155,14.624524935836089,12 05 27.1,+12 32 43
PGC038299,6595.652479071059,13.479383858884827,12 05 32.7,+14 29 24
PGC1402698,6610.260645266344,10.203379964789214,12 06 40.7,+12 02 04
PGC166122,6601.71813673114,12.510239842799876,12 06 54.1,+17 20 25
PGC3291470,6594.806926336828,15.281776769032703,12 06 57.1,+00 39 47
PGC2806927,6567.982280695789,14.939889902781083,12 07 30.6,+18 41 02
PGC1233241,6547.313616318083,14.534041101144197,12 07 34.5,+02 38 24
NGC4116,6600.163822775438,14.6108082565271,12 07 36.9,+02 41 31
PGC1560780,6598.328182197484,14.388576373639012,12 07 41.2,+18 28 49
NGC4119,6580.725865752072,12.668857816403296,12 08 09.6,+10 22 44
NGC4123,6563.2271666816505,10.726174727943647,12 08 11.1,+02 52 42
PGC1580851,6582.761479910543,13.00489436451646,12 08 12.1,+19 06 38
PGC1229057,6586.360112822586,13.109983933102932,12 08 20.0,+02 30 20
PGC038539,6594.463247953762,14.599859318914802,12 08 20.3,+13 41 02
AGC226030,6593.275932107026,11.177153690121905,12 08 20.7,+12 30 05
PGC3122921,6570.635441447421,12.844651492782447,12 08 24.2,+03 00 48
AGC220133,6579.344421306193,14.824113210667498,12 08 31.7,+15 05 45
UGC07133,6577.070145996352,14.472043025147002,12 09 19.7,+18 59 50
SDSSJ120920.02+242649.5,6586.549823049383,13.316640240179613,12 09 20.0,+24 26 49
PGC1728559,6591.347073389897,12.30565393960272,12 09 21.2,+25 12 03
IC3019,6599.3946102362015,14.182510616786075,12 09 22.3,+13 59 33
IC3017,6589.702036329912,13.18849869014473,12 09 25.0,+13 34 28
UGC07138,6598.343411273088,14.926473045141798,12 09 28.8,+26 13 35
GR10,6585.304496273618,10.742184337133356,12 09 42.6,+20 02 50
UGC07143,6571.996509967224,15.034240868804286,12 09 46.7,+25 01 34
EVCC0116,6585.326926718206,11.396130113563206,12 09 47.2,+13 00 54
SDSSJ120950.58+125411.4,6578.062475908332,12.868636100721602,12 09 50.6,+12 54 11
IC3021,6594.404249505589,14.372292938142216,12 09 54.6,+13 02 59
SDSSJ120958.86+250106.3,6589.301297846855,14.924326762419444,12 09 58.9,+25 01 06
IC3023,6595.369338646792,14.095577573242323,12 10 01.8,+14 22 00
PGC1397674,6580.125371662514,12.524361277442658,12 10 03.3,+11 42 49
IC3025,6603.8536420171495,13.388566659371676,12 10 23.1,+10 11 19
PGC038728,6587.455497119724,12.043503878709657,12 10 24.3,+13 10 14
SDSSJ121032.03+142923.1,6583.262520710774,14.239708714069387,12 10 32.0,+14 29 23
PGC038747,6582.015015190845,13.821215645913757,12 10 35.7,+11 45 39
UGC07170,6597.176051406736,14.9069733127372,12 10 37.0,+18 49 42
NGC4152,6598.755438967798,12.269795478363747,12 10 37.5,+16 01 59
AGC224696,6587.11016696647,12.670472102778966,12 10 38.0,+13 01 19
PGC038754,6601.81970538138,12.207581200043563,12 10 40.9,+14 38 46
SDSSJ121044.99+075205.0,6590.073044185261,11.09596796379327,12 10 45.0,+07 52 05
PGC1696046,6622.749816375477,11.458359954636343,12 10 46.3,+23 54 55
PGC038771,6594.555047708678,13.252858987728274,12 10 49.0,+15 15 09
PGC038779,6602.346793547725,11.986119836848495,12 10 54.6,+15 56 47
PGC1724251,6599.835902381446,12.775356689637881,12 10 55.8,+25 03 34
PGC038784,6564.782527632881,12.713018668934097,12 10 57.1,+09 13 10
SDSSJ121058.17+241438.5,6589.1514135017715,14.025364123503788,12 10 58.2,+24 14 39
IC0767,6596.323138201425,14.38359940962842,12 11 02.7,+12 06 14
UGC07178,6569.182253284547,13.880114830700006,12 11 03.6,+02 00 20
IC3032,6600.429367123559,13.748390740219648,12 11 07.7,+14 16 29
PGC1537492,6589.600167072307,15.073765181820775,12 11 08.6,+17 37 53
IC3033,6608.346795902428,12.912194457781531,12 11 10.0,+13 35 15
NGC4158,6580.666007702196,14.396180800550802,12 11 10.2,+20 10 32
PGC1674681,6566.297656573784,14.71920775357912,12 11 12.0,+22 42 18
PGC1565426,6601.017557798007,14.717526774229952,12 11 18.3,+18 38 05
UGC07184,6570.0716145142505,12.523092582801091,12 11 19.9,+01 29 32
UGC07186,6584.77478578301,14.021622423296787,12 11 22.4,+18 01 00
UGC07185,6573.4900193402145,13.138581219123115,12 11 27.4,+02 55 32
PGC038835,6604.214651581837,12.329386613584845,12 11 34.8,+24 01 44
PGC038837,6586.333184905413,14.713771583925777,12 11 38.2,+16 28 43
SDSSJ121140.31+125824.5,6583.0369407036615,11.370918536877117,12 11 40.3,+12 58 25
SDSSJ121141.87+131146.7,6577.410706887315,12.55028744663188,12 11 41.9,+13 11 47
PGC038844,6594.586762987235,14.028317907814817,12 11 45.7,+13 01 27
SDSSJ121145.94+131707.9,6575.155223560549,15.163115846413618,12 11 45.9,+13 17 08
PGC1410554,6603.568223690543,14.397772763197075,12 11 46.8,+12 29 38
PGC1538667,6591.18968405724,13.122083174467214,12 11 49.9,+17 40 36
NGC4162,6613.1597859896265,14.724890966946482,12 11 52.5,+24 07 25
PGC1441122,6579.761091578201,14.726016501723283,12 11 53.9,+13 48 30
PGC038859,6569.4741607942915,13.653905529984485,12 11 57.7,+20 01 40
GAMA220751,6580.583686546849,14.658316659742315,12 11 58.3,+01 29 35
SDSSJ121159.46+055502.6,6555.823720436531,13.245209624438694,12 11 59.5,+05 55 03
SDSSJ121201.19+102354.4,6581.802772538536,13.545490265728887,12 12 01.2,+10 23 54
PGC038872,6577.657892971114,12.756692335116398,12 12 04.4,+12 44 28
PGC038878,6581.745060214109,13.55448968405755,12 12 06.7,+25 18 34
SDSSJ121210.92+025255.6,6593.227972233941,12.995638170872088,12 12 10.9,+02 52 56
PGC038883,6588.5852370261555,15.126395010900438,12 12 11.0,+12 53 36
NGC4165,6581.839784259793,11.46748613559214,12 12 11.8,+13 14 47
MRK1313,6577.385582045914,13.824577952480041,12 12 14.7,+00 04 20
IC3036,6579.878762803525,14.075216385341939,12 12 15.1,+12 29 17
PGC1140236,6566.83760276975,13.749135757900383,12 12 15.9,-00 33 53
NGC4168,6585.381833102538,13.212419471320118,12 12 17.3,+13 12 19
PGC038893,6584.326794749557,14.913603982610688,12 12 19.0,+15 28 59
AGC229200,6577.832458547667,15.161059438923509,12 12 21.3,+02 56 23
SDSSJ121222.40+223529.1,6603.8008997565075,11.770045432202583,12 12 22.4,+22 35 29
PGC038899,6576.498939219173,12.585705262580728,12 12 22.7,+06 58 46
PGC135791,6582.287097016061,12.634154274065693,12 12 25.5,+02 48 36
IC0769,6598.762381126709,14.380260530469194,12 12 32.3,+12 07 25
PGC038926,6583.213183729074,12.586657077345905,12 12 36.1,+06 30 07
PGC3294258,6571.456551212763,14.311845416199596,12 12 37.7,+00 21 32
SDSSJ121240.72+065027.7,6561.592438702647,13.530674038995127,12 12 40.7,+06 50 28
PGC1415716,6605.723590625757,13.849404155467411,12 12 42.7,+12 45 46
PGC1760270,6626.403186023506,14.696941970399568,12 12 45.0,+26 02 25
NGC4178,6578.90863696561,13.27540545029725,12 12 46.3,+10 51 57
IC3044,6584.710857820421,13.936726555088747,12 12 48.5,+13 58 34
PGC038947,6583.536732591701,11.361718555365734,12 12 49.1,+13 20 50
NGC4179,6571.868968531951,14.022136244706132,12 12 52.1,+01 17 59
PGC1589647,6600.341186243185,14.788901280405515,12 12 57.6,+19 21 43
PGC091181,6587.557093638904,12.937075477476256,12 12 59.8,+07 17 56
AGC229174,6561.289349032803,13.58056263021058,12 13 02.2,+01 15 38
NGC4180,6572.706917809198,13.444684921088722,12 13 03.1,+07 02 20
PGC038970,6583.406957071833,14.595224144746837,12 13 04.6,+15 53 34
AGC749454,6592.795354429364,14.583068807979352,12 13 05.1,+25 06 45
SDSSJ121309.41+133503.9,6598.88685798073,13.796129325033057,12 13 09.4,+13 35 04
PGC038980,6562.544167657071,11.648176056912089,12 13 10.7,+07 13 10
PGC1433167,6609.442709025631,12.643708472840231,12 13 13.7,+13 31 22
PGC038993,6595.240249645846,13.507269049051956,12 13 17.8,+13 09 34
UGC07223,6580.050167623777,14.279277444076804,12 13 26.3,+14 46 19
PGC039008,6580.889280222021,14.58546803070558,12 13 31.9,+10 18 39
IC3049,6602.304159035289,12.558589944300643,12 13 33.6,+14 28 51
PGC039012,6605.281046957262,10.459084565059428,12 13 35.8,+13 02 05
PGC1183373,6553.103219711652,14.347539294664642,12 13 37.5,+01 03 49
PGC1122171,6576.034651096742,15.044458310873011,12 13 38.8,-01 17 37
PGC039018,6575.193807318314,11.940772787774826,12 13 41.1,+15 27 14
SDSSJ121341.42+090040.2,6583.156927437166,11.589347498541454,12 13 41.4,+09 00 40
AGC225998,6580.658977390998,11.301131334495352,12 13 41.8,+12 53 52
PGC3294233,6576.911463120114,15.113065071035656,12 13 45.1,-00 16 58
NGC4189,6578.298740761364,13.162866047078758,12 13 47.3,+13 25 30
PGC039031,6590.783440081483,14.589542175955888,12 13 48.2,+12 41 26
NGC4192,6611.141010635812,12.273322366481729,12 13 48.3,+14 54 00
UGC07236,6598.030480988963,13.526849813739453,12 13 49.0,+24 15 51
KK128,6570.0207286521445,11.183383838636239,12 13 50.4,+05 21 13
NGC4191,6573.784756945952,12.377046182719244,12 13 50.4,+07 12 03
PGC039041,6557.636628862523,13.233872982383417,12 13 53.2,+07 27 16
NGC4193,6589.291580646819,10.80918807902497,12 13 53.6,+13 10 22
UGC07237,6577.732657507596,13.302415780874156,12 14 01.3,+17 54 00
PGC039052,6566.941932573421,13.954235444216451,12 14 02.2,+06 43 23
PGC135794,6558.708491533563,12.830984252284967,12 14 06.7,+01 39 40
UGC07239,6592.034559781273,12.551348868423304,12 14 09.2,+07 46 35
PGC1416088,6565.275502878098,12.946298309847883,12 14 12.1,+12 46 59
SDSSJ121413.79+085429.7,6597.65373404361,14.804828868219587,12 14 13.7,+08 54 30
PGC039080,6594.769109686196,14.93584073298036,12 14 14.4,+13 32 34
PGC3294218,6571.892813372015,11.16429621603353,12 14 18.8,-00 50 51
SDSSJ121419.86+132706.4,6584.49593498075,15.274893693712123,12 14 19.9,+13 27 06
PGC039089,6599.036677003577,14.636127762328986,12 14 22.2,+14 58 43
PGC1307035,6567.427631307901,13.413558431899432,12 14 23.5,+06 45 51
SDSSJ121428.14+055431.1,6579.214662822358,13.37927345583006,12 14 28.1,+05 54 31
PGC039104,6589.638022314604,14.077422617685919,12 14 32.9,+12 06 12
PGC039108,6584.159957474673,10.813959228854234,12 14 34.7,+11 51 35
VCC114,6585.192673386001,13.92434588966271,12 14 35.3,+05 40 37
PGC039109,6576.555139138699,15.188558774756004,12 14 35.7,+09 11 59
PGC039112,6593.249695226371,14.285836576358626,12 14 36.8,+09 41 23
UGC07249,6599.876211315974,12.528715147219803,12 14 37.2,+12 48 45
NGC4197,6586.343857522575,12.424764298485393,12 14 38.5,+05 48 20
SDSSJ121443.03+103159.1,6597.147410092855,14.723959589734676,12 14 43.0,+10 31 59
NGC4200,6598.234705650573,14.653841136432114,12 14 44.2,+12 10 51
SDSSJ121444.59+124722.7,6561.143741256826,13.625690943730845,12 14 44.6,+12 47 23
SDSSJ121444.86+060916.2,6570.885157733523,12.728187792609951,12 14 44.9,+06 09 16
PGC089680,6590.755124577601,13.303985802229747,12 14 49.8,+17 43 08
PGC1368352,6568.221112848101,13.026633054758271,12 14 53.5,+09 40 11
IC3059,6585.524147432951,15.138360676423677,12 14 55.1,+13 27 38
PGC089681,6567.751824983428,12.559123311184955,12 14 56.7,+20 53 50
SDSSJ121458.02+075304.2,6594.008247566781,13.151874694812278,12 14 58.0,+07 53 04
PGC039144,6568.34190597287,15.246296902377807,12 14 58.6,+11 51 51
PGC039159,6593.598169226243,15.175147695316987,12 15 03.9,+13 01 55
PGC039153,6583.831908269584,11.750236297063672,12 15 04.0,+09 45 13
IC3061,6579.628584162178,14.94507509104746,12 15 04.5,+14 01 44
IC3063,6594.600805961535,14.008588812858981,12 15 06.8,+12 01 00
PGC039164,6598.20191346145,14.693264437528313,12 15 08.6,+14 58 19
IC3065,6582.952236618398,13.635981606962723,12 15 12.6,+14 25 58
NGC4204,6603.1925212783235,11.332556121468158,12 15 14.5,+20 39 31
IC3066,6580.9584696270895,15.016710331744871,12 15 16.4,+13 28 25
NGC4206,6582.59606273749,13.974138711923437,12 15 16.8,+13 01 26
SDSSJ121517.12+062335.3,6562.346630449048,14.919672686889601,12 15 17.1,+06 23 36
PGC039188,6587.855237150212,13.835266905764776,12 15 18.3,+05 45 40
SDSSJ121518.94+025538.2,6583.316465911816,14.210229315251318,12 15 19.1,+02 55 39
SDSSJ121527.31+103044.4,6583.1570805502815,11.742406132441804,12 15 27.3,+10 30 45
NGC4207,6579.225555404412,13.20880465640823,12 15 30.5,+09 35 06
IC3073,6599.640936736736,15.066118247323047,12 15 35.7,+13 37 11
PGC039230,6574.553609653648,14.176086104353054,12 15 39.0,+08 17 01
NGC4212,6580.0216666209035,12.989257619466812,12 15 39.3,+13 54 06
UGC07269,6607.498835681072,11.621518750568466,12 15 40.1,+15 00 20
IC3074,6599.1531474059,14.647191436287194,12 15 46.1,+10 41 58
PGC039250,6588.617179890542,11.824186717845873,12 15 53.8,+14 01 30
NGC4216,6585.674902945191,12.862482645206939,12 15 54.3,+13 08 58
NGC4215,6565.684856599642,14.371733566402952,12 15 54.5,+06 24 04
IC3077,6596.010338788915,13.85728558046209,12 15 56.3,+14 25 59
PGC039255,6590.131465536585,11.37570948413498,12 15 56.4,+09 39 03
PGC039264,6581.382398108298,14.306861646453214,12 16 00.4,+08 12 08
PGC039265,6587.279786796407,11.493782575711052,12 16 00.4,+04 39 03
IC3081,6597.441702176871,13.646129627466841,12 16 09.1,+12 41 29
PGC1475898,6596.47604519767,11.84454425369728,12 16 10.1,+15 07 25
PGC039286,6596.5090093320205,14.54068500257457,12 16 11.5,+11 21 37
PGC039260,6602.27866142032,12.055049879859375,12 16 11.9,+08 22 24
SDSSJ121612.76+072721.6,6568.714394180211,14.01061205950667,12 16 12.7,+07 27 22
PGC039288,6570.752432451503,14.851027285263093,12 16 13.0,+07 55 45
PGC039292,6570.654246824181,11.541338667676204,12 16 14.6,+13 35 11
PGC039296,6588.895149575068,11.506429370914105,12 16 15.4,+14 14 32
PGC1466850,6583.866880640074,13.684492365713126,12 16 20.6,+14 46 26
NGC4222,6579.567865355475,13.159611674341669,12 16 22.7,+13 18 26
PGC039309,6586.915999223534,13.305035366560347,12 16 23.2,+07 47 59
EVCC0248,6579.832673433705,12.617905578968113,12 16 24.9,+07 29 16
SDSSJ121626.98+060307.6,6557.040778570927,14.623766762439494,12 16 27.0,+06 03 08
PGC039331,6585.393358097191,11.349094606035038,12 16 33.7,+13 01 53
NGC4224,6586.502798971547,15.00846133632001,12 16 33.8,+07 27 43
PGC1376175,6581.642222003441,13.301633644442642,12 16 34.0,+10 12 23
PGC039333,6586.371625960262,14.426679350732762,12 16 35.2,+07 02 30
PGC135798,6572.777579322389,12.945780980585553,12 16 38.7,-01 27 06
SDSSJ121643.25+244306.1,6582.014845039857,14.423663798284057,12 16 43.2,+24 43 06
PGC039351,6586.4821766154855,14.636973576535862,12 16 47.9,+08 02 56
SDSSJ121649.78+133014.8,6590.538562541604,13.549691684794567,12 16 50.0,+13 30 14
LSBVCC378,6578.614659736313,12.80909157068752,12 16 50.1,+07 51 45
EVCC0259,6605.206067451725,14.366373497099005,12 16 50.6,+18 20 21
IC3096,6586.106687115621,13.7527741283808,12 16 52.4,+14 30 53
IC3094,6600.3854369860555,11.687123859365705,12 16 56.0,+13 37 31
PGC039370,6590.066163573349,13.62649291863783,12 16 58.3,+12 15 49
IC3097,6566.412027326786,14.093156795566763,12 17 01.1,+09 24 27
UGC07307,6579.320135650013,11.811924793480447,12 17 04.2,+10 00 20
IC3100,6593.293235587856,14.078767190679422,12 17 05.5,+12 17 23
SDSSJ121707.14+074401.9,6595.791822209875,12.876636667777575,12 17 07.2,+07 44 01
NGC4233,6577.788895542029,14.3200242702654,12 17 07.7,+07 37 28
NGC4234,6568.359961187084,13.714437294645826,12 17 09.1,+03 40 58
IC3099,6574.031816725321,13.989314162020733,12 17 09.3,+12 27 14
NGC4235,6582.703878623956,10.959757554353864,12 17 09.9,+07 11 30
PGC039392,6564.221262645307,14.232429979738022,12 17 10.7,+06 25 55
NGC4237,6572.4465239362435,13.742674572180167,12 17 11.4,+15 19 26
UGC07314,6565.911795432229,11.720863640720864,12 17 14.5,+08 56 32
NGC4239,6607.584261069567,13.654055784284019,12 17 14.9,+16 31 53
IC3101,6580.681302146797,14.514131360005472,12 17 19.7,+11 56 37
SDSSJ121722.25+052545.2,6562.180580900161,11.8972756415113,12 17 22.2,+05 25 45
IC3102,6572.733549688509,11.846416889441027,12 17 25.8,+06 41 24
PGC039415,6587.941671195121,14.257547217580502,12 17 26.5,+13 44 13
PGC039413,6577.534209129865,15.216081464209491,12 17 27.3,+17 39 02
SDSSJ121727.85+071937.6,6571.546003255133,13.876674442161779,12 17 27.8,+07 19 38
PGC1419134,6567.409689956757,13.067441766552985,12 17 28.1,+12 55 56
PGC039420,6588.491114403634,13.0747997563922,12 17 28.9,+08 31 58
PGC039421,6594.525762921258,14.837379240533188,12 17 29.5,+14 53 10
PGC039424,6568.704780399151,11.307539004364898,12 17 30.7,+06 41 51
IC3105,6588.052083157103,14.17673220029004,12 17 33.7,+12 23 16
AGC226054,6593.363452160112,12.320352667134628,12 17 33.8,+14 23 47
UGC07321,6584.670260076143,13.716998760635953,12 17 34.0,+22 32 25
PGC1286394,6595.190891120144,12.059800049870184,12 17 41.2,+05 37 15
SDSSJ121744.76+060457.6,6582.261728901986,13.01899322631559,12 17 44.8,+06 04 58
SDSSJ121746.61+052236.2,6543.887630922036,11.17153449895817,12 17 46.6,+05 22 36
PGC039460,6531.771250478197,11.159114022163244,12 17 47.4,+04 28 42
AGC226055,6578.166475897215,14.103399353926132,12 17 49.1,+15 04 52
PGC039467,6596.151740556558,10.363994506376478,12 17 52.7,+13 10 36
PGC039468,6581.476519055693,11.563565556812712,12 17 52.9,+05 01 38
PGC1294753,6595.918936443541,13.986966578823349,12 17 55.6,+06 06 46
UGC07332,6552.127348928681,14.779956209352697,12 17 56.0,+00 26 10
NGC4249,6574.202171648655,13.450484266257973,12 17 59.4,+05 35 55
IC3115,6574.4022517166395,12.076984463044674,12 18 00.0,+06 39 15
AGC226127,6565.724438923191,11.437715092028899,12 18 00.3,+08 09 55
SDSSJ121804.26+144510.4,6601.964813607304,14.344349479730766,12 18 04.3,+14 45 11
SDSSJ121804.89+074444.9,6575.835422562617,12.25978025084303,12 18 04.9,+07 44 45
PGC039488,6568.5675418412275,12.858453383693998,12 18 06.8,+05 41 04
PGC039501,6582.0178151069,12.316771047285997,12 18 07.3,+05 55 49
IC3118,6577.136298473415,12.787596840073412,12 18 11.1,+09 29 59
SDSSJ121811.60+043840.2,6568.307245273307,13.900037511938635,12 18 11.6,+04 38 40
PGC039509,6593.354889371235,13.947001581510044,12 18 14.4,+06 36 13
IC3120,6594.789472354544,12.738294468093102,12 18 15.3,+13 44 57
AGC229053,6569.632155767626,12.374689678396344,12 18 15.5,+25 34 05
PGC039515,6580.368579127772,14.870538113110918,12 18 17.9,+04 24 09
PGC1314461,6565.77399887025,13.374608944289353,12 18 18.0,+07 07 41
SDSSJ121820.26+050700.4,6568.30236149833,14.612307668442917,12 18 20.3,+05 07 01
SDSSJ121820.56+045113.6,6569.101057188238,14.7281183193988,12 18 20.6,+04 51 14
PGC039532,6573.753071779706,12.639896246863639,12 18 28.1,+05 36 57
SDSSJ121828.33+060433.9,6597.191735911635,12.002447165727723,12 18 28.3,+06 04 34
PGC039533,6570.800730610368,14.570744870455883,12 18 28.5,+06 24 21
NGC4252,6545.726736005167,14.2257252839796,12 18 30.9,+05 33 34
PGC039539,6583.054815941612,12.250317547381062,12 18 31.7,+05 50 59
PGC039542,6598.082333470413,11.030241611996352,12 18 31.9,+13 11 28
PGC039556,6567.557499029931,14.856072920232513,12 18 38.6,+06 42 30
PGC039561,6602.208321945796,14.793120711644729,12 18 39.9,+13 35 54
UGC07346,6561.394336600149,14.027274659227949,12 18 41.8,+17 43 07
PGC039564,6578.4841945642365,11.334761869447384,12 18 42.2,+05 39 56
PGC039565,6552.829099281041,14.321046787918881,12 18 42.9,+05 47 20
PGC039566,6568.8731677712385,14.414095196829464,12 18 43.9,+12 23 09
SDSSJ121845.12+061547.3,6588.370146877907,13.392843586063343,12 18 45.1,+06 15 47
PGC1193160,6551.693714126111,12.942346377718707,12 18 47.1,+01 22 54
NGC4254,6584.923817786003,14.04446082846561,12 18 49.6,+14 25 00
IC3131,6585.213541005671,14.226211703148351,12 18 50.9,+07 51 43
PGC039584,6597.300127229775,13.65710105475781,12 18 51.3,+12 35 52
NGC4255,6585.457841847789,12.578995739085471,12 18 56.2,+04 47 10
PGC039606,6587.498644310498,13.460793006764469,12 19 00.5,+06 05 41
PGC039610,6595.5559250417955,11.418472669802899,12 19 02.0,+13 58 57
IC0776,6591.561367247927,12.670231001143371,12 19 03.2,+08 51 22
PGC039619,6610.293237479474,13.05722419649993,12 19 05.1,+13 58 52
PGC039621,6593.574241396398,13.646864348576567,12 19 05.1,+04 39 39
PGC039620,6578.833892760976,12.173274005762924,12 19 05.9,+05 44 20
NGC4257,6559.81097001615,13.668571404186437,12 19 06.5,+05 43 33
SDSSJ121907.33+073805.5,6564.030443499454,12.745721108791269,12 19 07.6,+07 38 03
UGC07354,6547.338400924961,13.071397282068784,12 19 09.9,+03 51 22
PGC039632,6599.464667363776,13.895938882073505,12 19 11.2,+12 53 02
PGC039638,6588.511408331948,13.62283255376202,12 19 12.5,+12 51 07
PGC039639,6567.970932700659,12.569742148283286,12 19 13.8,+05 59 12
PGC039641,6570.485981570053,14.640217482279688,12 19 14.2,+13 52 56
PGC039647,6570.263470716581,13.185838322551398,12 19 15.3,+06 18 25
AGC220354,6566.136305558486,12.901739576461306,12 19 15.6,+06 17 38
PGC039648,6606.259431273808,11.239337293702334,12 19 16.4,+15 23 46
SDSSJ121917.10+053442.3,6587.993587671146,12.58418120340339,12 19 17.1,+05 34 42
PGC039652,6572.006531942277,14.462613272805658,12 19 20.2,+05 28 00
AGC226061,6592.855030979157,12.109595705234529,12 19 20.4,+12 57 10
PGC039653,6589.537473797693,13.299702114278524,12 19 20.7,+06 42 18
PGC1273077,6578.009249485789,14.987153951418087,12 19 21.1,+04 46 24
IC3148,6571.804832975873,11.85691452599525,12 19 21.7,+07 52 14
PGC039655,6581.759538473432,11.130547632024907,12 19 22.1,+05 54 38
NGC4259,6596.133027503286,14.024332117988806,12 19 22.2,+05 22 35
NGC4260,6573.940666606697,10.962206658264787,12 19 22.3,+06 05 56
PGC039660,6578.661270986353,14.218295300549443,12 19 23.1,+05 47 41
NGC4261,6582.912117526475,14.999255067532378,12 19 23.2,+05 49 30
[TH2002]230,6588.481512649484,14.735865021018952,12 19 23.4,+19 35 14
